track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,key,time_signature,release_date,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance
Inside Friend (feat. John Mayer),Leon Bridges,user_library,77,69.0,0.693,0.259,-7.918,0.0372,0.448,0.000135,0.0995,0.361,88.972,1,1,4,2020-04-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trap (feat. Lil Baby),SAINt JHN,user_library,82,16.0,0.792,0.839,-2.887,0.0429,0.0862,0.0,0.194,0.354,116.985,1,0,4,2019-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roses - Imanbek Remix,SAINt JHN,user_library,82,28.0,0.785,0.721,-5.457,0.0506,0.0149,0.00432,0.285,0.894,121.962,1,8,4,2019-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pump It Up - Extended Mix,Endor,user_library,65,30.0,0.975,0.729,-8.259,0.35,0.0313,0.00547,0.0394,0.561,129.004,1,1,4,2020-03-12,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feeling Awake - Sammy Virji Remix,AC Slater,user_library,55,33.0,0.906,0.769,-6.717,0.235,0.0216,0.391,0.0542,0.722,131.96,0,9,4,2020-04-03,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Move Your Body (Future House),Tchami,user_library,66,42.0,0.818,0.87,-5.162,0.0493,0.00424,0.196,0.0429,0.741,123.999,1,9,4,2015-02-10,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Catch The Spirit,Jack Beats,user_library,37,35.0,0.724,0.879,-7.694,0.0399,0.00673,0.0295,0.0976,0.12,125.027,0,7,4,2019-10-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memories (feat. Kid Cudi),David Guetta,user_library,88,71.0,0.561,0.87,-6.103,0.343,0.0015,2.82e-06,0.246,0.498,129.98,1,8,4,2009-08-21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Faithful,Suigeneris,user_library,51,39.0,0.736,0.791,-2.351,0.0672,0.107,0.00118,0.12,0.351,106.03,1,11,4,2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jerk It Out,Caesars,user_library,56,63.0,0.58,0.981,-2.603,0.06,0.0171,1.07e-05,0.386,0.861,134.007,0,8,4,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
